Date,YMAX,YMAX Dividends
2024-01-18 14:30:00,19.85,0.0
2024-01-18 18:30:00,19.94,0.0
2024-01-19 14:30:00,19.98,0.0
2024-01-19 18:30:00,20.12,0.0
2024-01-22 14:30:00,20.15,0.0
2024-01-22 18:30:00,20.16,0.0
2024-01-23 14:30:00,20.21,0.0
2024-01-23 18:30:00,20.27,0.0
2024-01-24 14:30:00,20.44,0.0
2024-01-24 18:30:00,20.36,0.0
2024-01-25 14:30:00,20.24,0.0
2024-01-25 18:30:00,20.18,0.0
2024-01-26 14:30:00,20.33,0.0
2024-01-26 18:30:00,20.36,0.0
2024-01-29 14:30:00,20.54,0.0
2024-01-29 18:30:00,20.64,0.0
2024-01-30 14:30:00,20.45,0.0
2024-01-30 18:30:00,20.54,0.0
2024-01-31 14:30:00,20.38,0.0
2024-01-31 18:30:00,20.2,0.0
2024-02-01 14:30:00,20.33,0.0
2024-02-01 18:30:00,20.38,0.0
2024-02-02 14:30:00,20.59,0.0
2024-02-02 18:30:00,20.69,0.0
2024-02-05 14:30:00,20.45,0.0
2024-02-05 18:30:00,20.43,0.0
2024-02-06 14:30:00,20.5,0.0
2024-02-06 18:30:00,20.58,0.0
2024-02-07 14:30:00,20.77,0.0
2024-02-07 18:30:00,20.76,0.0
2024-02-08 14:30:00,20.79,0.0
2024-02-08 18:30:00,20.79,0.0
2024-02-09 18:30:00,20.77,0.0
2024-02-12 14:30:00,20.95,0.0
2024-02-13 14:30:00,20.685,0.0
2024-02-13 18:30:00,20.52,0.0
2024-02-14 14:30:00,20.76,0.0
2024-02-14 18:30:00,20.92,0.0
2024-02-15 14:30:00,20.55,0.53
2024-02-16 14:30:00,20.6,0.0
2024-02-16 18:30:00,20.56,0.0
2024-02-20 14:30:00,20.08,0.0
2024-02-20 18:30:00,20.11,0.0
2024-02-21 14:30:00,20.01,0.0
2024-02-21 18:30:00,20.02,0.0
2024-02-22 14:30:00,20.75,0.0
2024-02-22 18:30:00,20.785,0.0
2024-02-23 14:30:00,20.82,0.0
2024-02-26 14:30:00,20.96,0.0
2024-02-26 18:30:00,20.94,0.0
2024-02-27 14:30:00,21.16,0.0
2024-02-27 18:30:00,21.19,0.0
2024-02-28 14:30:00,21.22,0.0
2024-02-28 18:30:00,21.18,0.0
2024-02-29 14:30:00,21.39,0.0
2024-02-29 18:30:00,21.53,0.0
2024-03-01 14:30:00,21.57,0.0
2024-03-01 18:30:00,21.5875,0.0
2024-03-04 14:30:00,21.57,0.0
2024-03-04 18:30:00,21.59,0.0
2024-03-05 14:30:00,21.17,0.0
2024-03-05 18:30:00,21.13,0.0
2024-03-06 14:30:00,21.49,0.0
2024-03-06 18:30:00,21.39,0.0
2024-03-07 14:30:00,21.53,0.0
